,name,discounted_price ₦,original_price ₦,discount,rating
0,"itel P40 6.6"" 4GB RAM/64GB ROM Android 12 - Blue","52,900","68,500",23%,4.2 out of 5
1,"Infinix HOT 30i 6.56"" 4GB RAM/128GB ROM Android 12 - Black","93,000","180,300",48%,4.3 out of 5
2,"XIAOMI Redmi 12 6.79"" 8GB RAM/256 GB ROM Android 13-Midnight Black","123,200","130,000",5%,4.2 out of 5
3,"itel P40 6.6"" 4GB RAM/64GB ROM Android 12 - Black","52,900","60,200",12%,4.4 out of 5
4,"Samsung Galaxy A14  6.6"" 4GB RAM/128GB ROM Android 13  - Black","127,545","138,000",8%,4.2 out of 5
5,"itel P40 Plus 6.6"" 4GB RAM/128GB ROM Android 13 - Blue","67,900","85,000",20%,4.5 out of 5
6,"Infinix Smart 7 HD 6.6"" 2GB RAM/64GB ROM 4G Android 12 - White","72,000","111,000",35%,4.3 out of 5
7,"Tecno Pop 7 Pro 6.6"" 4GB RAM/64GB ROM Android 12 - Black","70,723","121,373",42%,4.3 out of 5
8,"Tecno Spark 10c 6.6"" 4GB RAM/128GB ROM Android 13 - Black","92,500","140,980",34%,4.4 out of 5
9,"Tecno Camon 20 6.67"" 8GB/256GB Android 13 -GlacierGlow + Free Gift","156,615","270,800",42%,4.6 out of 5
10,"Infinix Hot 30i 6.6"" 4GB RAM/128GB ROM Android 12 - Blue","93,000","186,300",50%,4.4 out of 5
11,"itel A60s 6.6""HD 4GB RAM/128GB ROM Android 12 - Green","57,130","75,000",24%,5 out of 5
12,"Oppo Refurbished OPPO  F7 6.2 ""FHD+   6GB+128GB ,  Black","45,990","89,990",49%,3.7 out of 5
13,"Infinix Smart 7 Plus 6.6"" 4GB RAM/64GB ROM Android 12 - Green","73,186","120,935",39%,4.2 out of 5
14,"Samsung Galaxy A14 6.6"" 4GB RAM/64GB ROM Android 13 - Black","121,520","135,000",10%,4.5 out of 5
15,"XIAOMI Redmi A2+ 6.52"" 2GB RAM/32GB ROM Android 12 - Light Blue","47,900","69,000",31%,4.6 out of 5
16,"itel A18 5.0"" 1GB RAM/32GB ROM Android 11 - Morion Grey","36,450","40,000",9%,3.9 out of 5
17,"Tecno Spark 10 Pro 6.8"" 8GB RAM/128GB ROM Android 13 - Black","119,087","200,000",40%,4.4 out of 5
18,"Kuhl 14Pro Max 6.82FHD,4GB+64GB, 5mp+13mp, 5000 MA Battery Black","59,990","69,990",14%,3.8 out of 5
19,"XIAOMI Redmi 12 6.79"" 4GB RAM/128GB ROM Android 13 - Midnight Black","110,010","120,000",8%,4.8 out of 5
20,IPhone X 3GB RAM+64GB (Renewed) -White,"187,000","319,608",41%,4.1 out of 5
21,"XIAOMI Redmi 12 6.79"" 8GB RAM/256GB ROM Android 13 - Midnight Black","127,900","149,000",14%,4.3 out of 5
22,IPhone X 3GB RAM+64GB(Renewed)  -Black,"187,000","319,608",41%,4.1 out of 5
23,"Tecno Pop 7 Pro 6.6"" 3GB RAM/64GB ROM Android 12 - Blue","75,800","119,216",36%,4.3 out of 5
24,"Tecno Spark 10 6.6"" 8GB RAM/128GB ROM Android 12 - Black","106,971","181,373",41%,4.4 out of 5
25,"Samsung Galaxy A03 Core 6.5"" 2GB RAM/ 32GB ROM Android 11- Onyx Black","63,350","94,740",33%,4.2 out of 5
26,"Samsung Galaxy A24 6.5"" 6GB RAM/128GB ROM Android 13  - Black","194,250","220,000",12%,4.8 out of 5
27,"itel S23 6.6"", 128GB ROM + Up To 8GB RAM, 50MP Camera, 5000mAh","80,990","100,000",19%,3.9 out of 5
28,XIAOMI Redmi A2+ 6.52” 2GB RAM/32GB ROM Android 12 - Light Green,"47,900","69,000",31%,3.9 out of 5
29,IPhone 6 16GB(Refurbished)-Grey (Grade A),"45,500","90,196",50%,4.1 out of 5
30,"Samsung Galaxy A04s 6.5"" 4GB RAM/128GB ROM Android 12 - Black","112,090","129,500",13%,4.5 out of 5
31,"Tecno POP 7 6.6"" 2GB RAM/ 64GB ROM Android 12 - Black","72,000","110,800",35%,4.2 out of 5
32,"Tecno POP 7 6.6"" 2GB RAM/ 64GB ROM Android 12 - Blue","72,000","110,800",35%,4.2 out of 5
33,"Tecno Spark10 Pro 6.8"" 8GB/256GB ROM Android13 - Black + Free Gift","141,500","230,000",38%,4.5 out of 5
34,"Samsung Galaxy A04s  6.5"" 4GB RAM/64GB ROM Android 12- Black","100,500","130,770",23%,4.5 out of 5
35,"XIAOMI Redmi Note 12 6.67"" 4GB RAM/128GB ROM Android 13 - Onyx Gray","127,570","145,000",12%,4 out of 5
36,"XIAOMI Redmi 12 6.79"" 4GB RAM/128GB ROM Android 13 - Midnight Black","115,900","149,000",22%,4.1 out of 5
37,"FreeYond F9,2GB+64GB,6.52"" Smartphone,4G,5000mAh,Black","49,900","91,000",45%,4.3 out of 5
38,"Tecno POP 7(BF6) 6.6"" HD+ 2GB RAM/64GB ROM Android 12 - Capri Blue","66,850","90,000",26%,4.2 out of 5
39,"Kuhl 14Pro Max 6.82FHD,4GB+64GB, 5mp+13mp, 5000 MA Battery White","59,990","69,990",14%,
